country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","27-11-2025 09:00:00",23.020509,72.579261,CO,8,101,20
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","27-11-2025 09:00:00",23.023389,72.515201,PM10,94,129,113
India,Delhi,Delhi,"Mundka, Delhi - DPCC","27-11-2025 09:00:00",28.684678,77.076574,PM10,113,487,291
India,Delhi,Delhi,"Mundka, Delhi - DPCC","27-11-2025 09:00:00",28.684678,77.076574,SO2,3,110,40
India,Delhi,Delhi,"Mundka, Delhi - DPCC","27-11-2025 09:00:00",28.684678,77.076574,OZONE,3,100,3
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","27-11-2025 09:00:00",28.60909,77.0325413,SO2,10,24,20
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","27-11-2025 09:00:00",28.60909,77.0325413,CO,34,104,60
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","27-11-2025 09:00:00",28.570173,76.933762,CO,45,101,85
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","27-11-2025 09:00:00",28.570173,76.933762,OZONE,4,26,4
India,Delhi,Delhi,"Narela, Delhi - DPCC","27-11-2025 09:00:00",28.822836,77.101981,NH3,5,17,8
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","27-11-2025 09:00:00",28.5504249,77.2159377,OZONE,8,28,12
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","27-11-2025 09:00:00",28.710508,77.249485,PM10,148,411,248
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","27-11-2025 09:00:00",28.710508,77.249485,OZONE,3,301,4
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","27-11-2025 09:00:00",28.531346,77.190156,PM2.5,183,356,298
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","27-11-2025 09:00:00",28.531346,77.190156,NO2,6,74,30
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","27-11-2025 09:00:00",28.531346,77.190156,NH3,5,7,6
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","27-11-2025 09:00:00",28.531346,77.190156,SO2,1,15,9
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","27-11-2025 09:00:00",28.674045,77.131023,PM2.5,240,500,389
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","27-11-2025 09:00:00",28.674045,77.131023,SO2,1,32,16
India,Delhi,Delhi,"Pusa, Delhi - DPCC","27-11-2025 09:00:00",28.639652,77.146275,PM2.5,301,393,341
India,Delhi,Delhi,"Pusa, Delhi - DPCC","27-11-2025 09:00:00",28.639652,77.146275,SO2,4,14,9
India,Delhi,Delhi,"Pusa, Delhi - IMD","27-11-2025 09:00:00",28.636110,77.173332,NO2,7,125,66
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","27-11-2025 09:00:00",28.563262,77.186937,CO,10,167,162
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","27-11-2025 09:00:00",28.5710274,77.0719006,NO2,50,162,100
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","27-11-2025 09:00:00",28.5710274,77.0719006,CO,50,173,123
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","27-11-2025 09:00:00",28.5710274,77.0719006,OZONE,1,165,2
India,Delhi,Delhi,"ITO, Delhi - CPCB","27-11-2025 09:00:00",28.628624,77.241060,NO2,33,263,152
India,Delhi,Delhi,"ITO, Delhi - CPCB","27-11-2025 09:00:00",28.628624,77.241060,CO,39,138,117
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","27-11-2025 09:00:00",28.732820,77.170633,PM2.5,253,500,398
India,Delhi,Delhi,"Narela, Delhi - DPCC","27-11-2025 09:00:00",28.822836,77.101981,CO,24,110,99
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","27-11-2025 09:00:00",28.567890,77.250515,CO,109,158,144
